"run"	"Année"	"baseline"	"scen"	"ssp"	"recup"	"Bonifié"	"mgmt.unit"	"Superficie"	"Volume"	"Area cut"	"Vol cut"	"min_area"	"min_vol"
1	2055	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	286	5395210	286	5395210	256	4268638
1	2055	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	266	4918045	266	4918045	226	4391962
1	2055	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	286	5150414	286	5150414	256	4473878
1	2060	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	288	5336678	288	5336678	256	4268638
1	2060	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	238	4391962	238	4391962	226	4391962
1	2060	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	282	5146188	282	5146188	256	4473878
1	2065	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	288	5506451	288	5506451	256	4268638
1	2065	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	246	4435686	246	4435686	226	4391962
1	2065	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	286	5469473	286	5469473	256	4473878
1	2070	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	285	5578366	285	5578366	256	4268638
1	2070	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	266	5110052	266	5110052	226	4391962
1	2070	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	286	5890470	286	5890470	256	4473878
1	2075	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	280	5592165	280	5592165	256	4268638
