"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.per"	"area.total"
"11161"	2080	"climat stable - recup70%"	"recup70%"	"climat stable"	6.4	24
"11161"	2080	"climat stable - reference"	"reference"	"climat stable"	5.2	26.4
"11161"	2080	"climat stable - reserve"	"reserve"	"climat stable"	1.2	24.4
"11161"	2080	"climat stable - sans coupe"	"sans coupe"	"climat stable"	1.6	24.8
"11161"	2085	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0.8	13.6
"11161"	2085	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	4.8	20.8
"11161"	2085	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	14
"11161"	2085	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0.8	18.4
"11161"	2085	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	7.6	28.8
"11161"	2085	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	4.8	24.8
"11161"	2085	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	3.2	29.2
"11161"	2085	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	2.8	16
"11161"	2085	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	4.4	24.8
"11161"	2085	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	4.4	24.4
"11161"	2085	"climat stable - reboisement"	"reboisement"	"climat stable"	0.8	32.8
"11161"	2085	"climat stable - recup70%"	"recup70%"	"climat stable"	4	24.4
"11161"	2085	"climat stable - reference"	"reference"	"climat stable"	5.6	28.8
"11161"	2085	"climat stable - reserve"	"reserve"	"climat stable"	4.8	24
"11161"	2085	"climat stable - sans coupe"	"sans coupe"	"climat stable"	2.4	23.6
"11161"	2090	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	4.8	17.2
"11161"	2090	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	2	19.6
"11161"	2090	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0.4	14
"11161"	2090	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	2.8	18
"11161"	2090	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	2.8	26.8
"11161"	2090	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	2.8	25.6
"11161"	2090	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	6.4	30
"11161"	2090	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0.8	14.8
"11161"	2090	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	3.2	26
"11161"	2090	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	2	21.2
"11161"	2090	"climat stable - reboisement"	"reboisement"	"climat stable"	3.6	33.6
"11161"	2090	"climat stable - recup70%"	"recup70%"	"climat stable"	6.4	28.8
"11161"	2090	"climat stable - reference"	"reference"	"climat stable"	2.8	28.4
"11161"	2090	"climat stable - reserve"	"reserve"	"climat stable"	6.4	29.2
"11161"	2090	"climat stable - sans coupe"	"sans coupe"	"climat stable"	1.2	21.2
"11161"	2095	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	2	15.6
"11161"	2095	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	1.6	20
"11161"	2095	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	2	14
"11161"	2095	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	4	17.6
"11161"	2095	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	0.8	25.6
"11161"	2095	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	2	23.2
"11161"	2095	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0.4	29.6
"11161"	2095	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	5.2	18.8
"11161"	2095	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	2	22.8
"11161"	2095	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	4.8	22.8
