"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.acc"	"area.CT"	"area.salv"	"area.total"	"area.acc.mean"	"area.CT.mean"	"area.salv.mean"	"area.total.mean"
"11161"	2060	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	43.6	0	43.6	0	44.2666666666667	0.133333333333333	44.2666666666667
"11161"	2060	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	44.8	0	44.8	0	44.4	0	44.4
"11161"	2060	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44.4	0	44.4	0	44.4	0	44.4
"11161"	2060	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	133.6	0.8	133.6	0	132.933333333333	0.533333333333333	132.933333333333
"11161"	2060	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	44.4	0.8	44.4	0.133333333333333	43.8666666666667	0.933333333333333	44
"11161"	2060	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	44	0	44	0	43.8666666666667	0	43.8666666666667
"11161"	2060	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	44	0	44	0	44	0	44
"11161"	2060	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44.8	0	44.8	0	44.6666666666667	0	44.6666666666667
"11161"	2060	"climat stable - reboisement"	"reboisement"	"climat stable"	0	133.6	0.4	133.6	0	133.2	0.266666666666667	133.2
"11161"	2060	"climat stable - recup70%"	"recup70%"	"climat stable"	0.4	43.6	0.4	44	0.133333333333333	43.6	0.266666666666667	43.7333333333333
"11161"	2060	"climat stable - reference"	"reference"	"climat stable"	0	44.4	0	44.4	0	44.4	0	44.4
"11161"	2060	"climat stable - reserve"	"reserve"	"climat stable"	0	44	0	44	0	43.8666666666667	0	43.8666666666667
"11161"	2060	"climat stable - sans feu"	"sans feu"	"climat stable"	0	44.4	0	44.4	0	44.4	0	44.4
"11161"	2065	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	135.2	0.4	135.2	0	135.6	0.4	135.6
"11161"	2065	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	46.8	2.8	46.8	0.133333333333333	45.6	1.2	45.7333333333333
"11161"	2065	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	45.2	0.4	45.2	0	44.2666666666667	0.133333333333333	44.2666666666667
"11161"	2065	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	44.4	0	44.4	0	44.5333333333333	0	44.5333333333333
"11161"	2065	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44.4	0	44.4	0	44.4	0	44.4
