"mgmt.unit"	"Année"	"scen"	"Superficie"	"med_area"
"11161"	2080	"climat stable - reference"	103.6	60
"11161"	2085	"climat stable - reference"	138.4	60
"11161"	2090	"climat stable - reference"	27.2	60
"11161"	2095	"climat stable - reference"	65.2	60
"11161"	2100	"climat stable - reference"	62	60
"11161"	2025	"climat stable - reserve"	0	NA
"11161"	2030	"climat stable - reserve"	67.2	66.8
"11161"	2035	"climat stable - reserve"	34	66.8
"11161"	2040	"climat stable - reserve"	71.2	66.8
"11161"	2045	"climat stable - reserve"	56	66.8
"11161"	2050	"climat stable - reserve"	86.4	66.8
"11161"	2055	"climat stable - reserve"	28	66.8
"11161"	2060	"climat stable - reserve"	57.6	66.8
"11161"	2065	"climat stable - reserve"	91.6	66.8
"11161"	2070	"climat stable - reserve"	40.4	66.8
"11161"	2075	"climat stable - reserve"	67.6	66.8
"11161"	2080	"climat stable - reserve"	34.4	66.8
"11161"	2085	"climat stable - reserve"	85.2	66.8
"11161"	2090	"climat stable - reserve"	66.8	66.8
"11161"	2095	"climat stable - reserve"	54.8	66.8
"11161"	2100	"climat stable - reserve"	66.8	66.8
"11161"	2025	"climat stable - sans coupe"	0	NA
"11161"	2030	"climat stable - sans coupe"	66.8	65.2
"11161"	2035	"climat stable - sans coupe"	39.2	65.2
"11161"	2040	"climat stable - sans coupe"	51.2	65.2
"11161"	2045	"climat stable - sans coupe"	110	65.2
"11161"	2050	"climat stable - sans coupe"	65.2	65.2
"11161"	2055	"climat stable - sans coupe"	96.8	65.2
"11161"	2060	"climat stable - sans coupe"	82	65.2
"11161"	2065	"climat stable - sans coupe"	79.2	65.2
"11161"	2070	"climat stable - sans coupe"	40.8	65.2
"11161"	2075	"climat stable - sans coupe"	36.8	65.2
"11161"	2080	"climat stable - sans coupe"	49.6	65.2
"11161"	2085	"climat stable - sans coupe"	77.2	65.2
"11161"	2090	"climat stable - sans coupe"	51.2	65.2
"11161"	2095	"climat stable - sans coupe"	106	65.2
"11161"	2100	"climat stable - sans coupe"	48.4	65.2
"11262"	2025	"SSP2-4.5 - reboisement"	0	NA
"11262"	2030	"SSP2-4.5 - reboisement"	17.6	27.2
"11262"	2035	"SSP2-4.5 - reboisement"	3.6	27.2
"11262"	2040	"SSP2-4.5 - reboisement"	22.8	27.2
"11262"	2045	"SSP2-4.5 - reboisement"	24.4	27.2
"11262"	2050	"SSP2-4.5 - reboisement"	27.2	27.2
"11262"	2055	"SSP2-4.5 - reboisement"	94.4	27.2
"11262"	2060	"SSP2-4.5 - reboisement"	87.2	27.2
"11262"	2065	"SSP2-4.5 - reboisement"	66	27.2
"11262"	2070	"SSP2-4.5 - reboisement"	85.2	27.2
"11262"	2075	"SSP2-4.5 - reboisement"	26.8	27.2
"11262"	2080	"SSP2-4.5 - reboisement"	7.2	27.2
"11262"	2085	"SSP2-4.5 - reboisement"	55.6	27.2
"11262"	2090	"SSP2-4.5 - reboisement"	28.4	27.2
"11262"	2095	"SSP2-4.5 - reboisement"	50.8	27.2
"11262"	2100	"SSP2-4.5 - reboisement"	26	27.2
"11262"	2025	"SSP2-4.5 - recup70%"	0	NA
"11262"	2030	"SSP2-4.5 - recup70%"	17.2	39.6
"11262"	2035	"SSP2-4.5 - recup70%"	70.8	39.6
"11262"	2040	"SSP2-4.5 - recup70%"	36.8	39.6
"11262"	2045	"SSP2-4.5 - recup70%"	33.2	39.6
"11262"	2050	"SSP2-4.5 - recup70%"	60	39.6
"11262"	2055	"SSP2-4.5 - recup70%"	67.6	39.6
"11262"	2060	"SSP2-4.5 - recup70%"	31.6	39.6
"11262"	2065	"SSP2-4.5 - recup70%"	40.4	39.6
"11262"	2070	"SSP2-4.5 - recup70%"	67.6	39.6
"11262"	2075	"SSP2-4.5 - recup70%"	26	39.6
"11262"	2080	"SSP2-4.5 - recup70%"	38.4	39.6
"11262"	2085	"SSP2-4.5 - recup70%"	24.4	39.6
"11262"	2090	"SSP2-4.5 - recup70%"	43.6	39.6
"11262"	2095	"SSP2-4.5 - recup70%"	59.2	39.6
"11262"	2100	"SSP2-4.5 - recup70%"	39.6	39.6
"11262"	2025	"SSP2-4.5 - reference"	0	NA
"11262"	2030	"SSP2-4.5 - reference"	10.8	34.4
"11262"	2035	"SSP2-4.5 - reference"	34	34.4
"11262"	2040	"SSP2-4.5 - reference"	38.8	34.4
"11262"	2045	"SSP2-4.5 - reference"	50.4	34.4
"11262"	2050	"SSP2-4.5 - reference"	34.4	34.4
"11262"	2055	"SSP2-4.5 - reference"	110.8	34.4
"11262"	2060	"SSP2-4.5 - reference"	84	34.4
"11262"	2065	"SSP2-4.5 - reference"	32	34.4
"11262"	2070	"SSP2-4.5 - reference"	66	34.4
"11262"	2075	"SSP2-4.5 - reference"	17.6	34.4
"11262"	2080	"SSP2-4.5 - reference"	23.6	34.4
"11262"	2085	"SSP2-4.5 - reference"	29.6	34.4
"11262"	2090	"SSP2-4.5 - reference"	56.4	34.4
"11262"	2095	"SSP2-4.5 - reference"	9.6	34.4
"11262"	2100	"SSP2-4.5 - reference"	66.8	34.4
"11262"	2025	"SSP2-4.5 - reserve"	0	NA
"11262"	2030	"SSP2-4.5 - reserve"	38	41.2
"11262"	2035	"SSP2-4.5 - reserve"	129.6	41.2
"11262"	2040	"SSP2-4.5 - reserve"	42.8	41.2
