"mgmt.unit"	"Année"	"scen"	"Historique"	"brfuel"	"Climat"	"Climat&Végétation"
"11161"	2050	"climat stable - sans coupe"	0.00742	0.00915	0.00742	0.00915
"11161"	2050	"climat stable - sans feu"	0.00742	0.00833	0.00742	0.00833
"11161"	2050	"climat stable - sans pert"	0.00742	0.00932	0.00742	0.00932
"11161"	2055	"SSP2-4.5 - reboisement"	0.00742	0.00796	0.00837	0.00903
"11161"	2055	"SSP2-4.5 - recup70%"	0.00742	0.00794	0.00837	0.00902
"11161"	2055	"SSP2-4.5 - reference"	0.00742	0.00792	0.00837	0.00898
"11161"	2055	"SSP2-4.5 - reserve"	0.00742	0.00799	0.00837	0.00907
"11161"	2055	"SSP2-4.5 - sans coupe"	0.00742	0.00907	0.00837	0.01034
"11161"	2055	"SSP2-4.5 - sans feu"	0.00742	0.00814	0.00837	0.00924
"11161"	2055	"SSP2-4.5 - sans pert"	0.00742	0.00937	0.00837	0.01063
"11161"	2055	"SSP3-7.0 - reboisement"	0.00742	0.00803	0.00943	0.01017
"11161"	2055	"SSP3-7.0 - recup70%"	0.00742	0.00791	0.00943	0.01004
"11161"	2055	"SSP3-7.0 - reference"	0.00742	0.00793	0.00943	0.01004
"11161"	2055	"SSP3-7.0 - reserve"	0.00742	0.00796	0.00943	0.0101
"11161"	2055	"SSP3-7.0 - sans coupe"	0.00742	0.00905	0.00943	0.01148
"11161"	2055	"SSP3-7.0 - sans feu"	0.00742	0.00816	0.00943	0.01036
"11161"	2055	"SSP3-7.0 - sans pert"	0.00742	0.00935	0.00943	0.01188
"11161"	2055	"climat stable - reboisement"	0.00742	0.008	0.00742	0.008
"11161"	2055	"climat stable - recup70%"	0.00742	0.00801	0.00742	0.00801
"11161"	2055	"climat stable - reference"	0.00742	0.00801	0.00742	0.00801
"11161"	2055	"climat stable - reserve"	0.00742	0.008	0.00742	0.008
"11161"	2055	"climat stable - sans coupe"	0.00742	0.00919	0.00742	0.00919
"11161"	2055	"climat stable - sans feu"	0.00742	0.00819	0.00742	0.00819
"11161"	2055	"climat stable - sans pert"	0.00742	0.00945	0.00742	0.00945
"11161"	2060	"SSP2-4.5 - reboisement"	0.00742	0.00775	0.00837	0.0088
"11161"	2060	"SSP2-4.5 - recup70%"	0.00742	0.00773	0.00837	0.00879
"11161"	2060	"SSP2-4.5 - reference"	0.00742	0.00774	0.00837	0.00882
"11161"	2060	"SSP2-4.5 - reserve"	0.00742	0.0078	0.00837	0.00885
"11161"	2060	"SSP2-4.5 - sans coupe"	0.00742	0.00902	0.00837	0.01021
"11161"	2060	"SSP2-4.5 - sans feu"	0.00742	0.008	0.00837	0.00906
"11161"	2060	"SSP2-4.5 - sans pert"	0.00742	0.0094	0.00837	0.01069
"11161"	2060	"SSP3-7.0 - reboisement"	0.00742	0.00783	0.00943	0.00991
"11161"	2060	"SSP3-7.0 - recup70%"	0.00742	0.00768	0.00943	0.00975
"11161"	2060	"SSP3-7.0 - reference"	0.00742	0.00773	0.00943	0.00983
"11161"	2060	"SSP3-7.0 - reserve"	0.00742	0.00775	0.00943	0.00985
"11161"	2060	"SSP3-7.0 - sans coupe"	0.00742	0.00899	0.00943	0.01138
"11161"	2060	"SSP3-7.0 - sans feu"	0.00742	0.00801	0.00943	0.01014
"11161"	2060	"SSP3-7.0 - sans pert"	0.00742	0.00944	0.00943	0.01194
"11161"	2060	"climat stable - reboisement"	0.00742	0.00779	0.00742	0.00779
"11161"	2060	"climat stable - recup70%"	0.00742	0.00785	0.00742	0.00785
"11161"	2060	"climat stable - reference"	0.00742	0.00783	0.00742	0.00783
"11161"	2060	"climat stable - reserve"	0.00742	0.00784	0.00742	0.00784
"11161"	2060	"climat stable - sans coupe"	0.00742	0.00922	0.00742	0.00922
"11161"	2060	"climat stable - sans feu"	0.00742	0.00806	0.00742	0.00806
"11161"	2060	"climat stable - sans pert"	0.00742	0.00952	0.00742	0.00952
"11161"	2065	"SSP2-4.5 - reboisement"	0.00742	0.0076	0.00837	0.00864
"11161"	2065	"SSP2-4.5 - recup70%"	0.00742	0.00759	0.00837	0.00863
"11161"	2065	"SSP2-4.5 - reference"	0.00742	0.00758	0.00837	0.00863
"11161"	2065	"SSP2-4.5 - reserve"	0.00742	0.00759	0.00837	0.00864
"11161"	2065	"SSP2-4.5 - sans coupe"	0.00742	0.00902	0.00837	0.01019
"11161"	2065	"SSP2-4.5 - sans feu"	0.00742	0.00785	0.00837	0.00892
"11161"	2065	"SSP2-4.5 - sans pert"	0.00742	0.00942	0.00837	0.01071
"11161"	2065	"SSP3-7.0 - reboisement"	0.00742	0.00765	0.00943	0.00969
"11161"	2065	"SSP3-7.0 - recup70%"	0.00742	0.00754	0.00943	0.00956
