"mgmt.unit"	"Année"	"scen"	"ssp"	"bonif"	"spp"	"area"	"Proportion"
"11161"	2025	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Résineux"	4295.6	0.634
"11161"	2025	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Feuillus intolérants"	918.8	0.136
"11161"	2025	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Plantations résineuses"	1020	0.151
"11161"	2025	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Feuillus tolérants"	545.6	0.081
"11161"	2025	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Résineux"	4159.6	0.614
"11161"	2025	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Feuillus intolérants"	919.2	0.136
"11161"	2025	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Plantations résineuses"	1147.6	0.169
"11161"	2025	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Feuillus tolérants"	553.6	0.082
"11161"	2025	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Résineux"	4214	0.622
"11161"	2025	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Feuillus intolérants"	941.2	0.139
"11161"	2025	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Plantations résineuses"	1063.2	0.157
"11161"	2025	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Feuillus tolérants"	545.2	0.081
"11161"	2025	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Résineux"	4208.4	0.621
"11161"	2025	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Feuillus intolérants"	954.8	0.141
"11161"	2025	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Plantations résineuses"	1063.6	0.157
