"Année"	"mgmt.unit"	"scen"	"Bois marchand"	"Bois autre"	"Feuillage"	"Racines grossières"	"Racines fines"	"Bois mort"	"très rapide"	"rapide"	"moyenne"	"lente aérien"	"Produits du bois"	"Atmosphère décomposition"	"Atmosphère perturbation"	"lente souterrain"	"PPN"	"PEN"	"PBN"
2050	"2751"	"SSP3-7.0 - sans pert"	28.903	12.269	4.374	9.788	1.819	5.354	7.69	7.199	9.863	26.102	0	2.788171	0	80.929	3.247634	0.459464	0.459464
2050	"2751"	"climat stable - reboisement"	21.014	10.333	3.428	7.617	1.601	4.695	7.819	8.707	11.151	26.049	0.25214	2.602666	0.05837	80.816	3.039322	0.436655	0.126145
2050	"2751"	"climat stable - recup70%"	20.752	10.307	3.407	7.546	1.6	4.751	7.793	8.609	11.351	26.007	0.234774	2.589505	0.059009	80.811	3.044185	0.454681	0.160898
2050	"2751"	"climat stable - reference"	19.498	10.094	3.252	7.27	1.577	5.104	7.624	8.459	11.862	25.7	0.211244	2.55825	0.029786	80.747	2.992733	0.434482	0.193453
2050	"2751"	"climat stable - reserve"	21.796	10.532	3.526	7.83	1.623	4.995	7.911	8.556	11.131	26.002	0.20919	2.601784	0.062349	80.817	3.061415	0.459631	0.188092
2050	"2751"	"climat stable - sans coupe"	26.043	11.583	4.036	9.003	1.747	6.339	8.411	7.788	11.098	25.781	0	2.607323	0.018835	80.824	3.129746	0.522423	0.503588
2050	"2751"	"climat stable - sans feu"	22.394	10.705	3.611	7.979	1.642	4.099	8.108	8.706	10.711	26.297	0.266277	2.63293	0	80.847	3.10719	0.47426	0.207983
2050	"2751"	"climat stable - sans pert"	28.697	12.203	4.359	9.704	1.816	5.419	8.838	7.733	10.195	26.147	0	2.649604	0	80.877	3.227107	0.577502	0.577502
2055	"2751"	"SSP2-4.5 - reboisement"	21.021	10.379	3.392	7.663	1.602	4.79	6.825	8.152	10.714	26.067	0.251163	2.728372	0.09073	80.859	3.106734	0.378362	0.03647
2055	"2751"	"SSP2-4.5 - recup70%"	21.43	10.489	3.445	7.774	1.615	4.579	6.891	8.12	10.635	26.169	0.24512	2.729498	0.034592	80.885	3.120855	0.391357	0.111645
2055	"2751"	"SSP2-4.5 - reference"	20.536	10.32	3.341	7.546	1.6	5.135	6.801	8.055	11.048	25.948	0.221151	2.715185	0.074287	80.844	3.1123	0.397115	0.101677
2055	"2751"	"SSP2-4.5 - reserve"	21.22	10.41	3.402	7.733	1.605	5.16	6.831	8.015	10.963	25.912	0.216713	2.720197	0.109782	80.838	3.100292	0.380095	0.053601
2055	"2751"	"SSP2-4.5 - sans coupe"	27.427	11.824	4.134	9.418	1.761	6.428	7.433	7.473	10.465	25.939	0	2.766981	0.105951	80.912	3.195654	0.428673	0.322722
2055	"2751"	"SSP2-4.5 - sans feu"	23.181	10.899	3.675	8.213	1.66	3.814	7.156	8.151	10.024	26.443	0.273155	2.765378	0	80.916	3.181374	0.415996	0.142841
2055	"2751"	"SSP2-4.5 - sans pert"	30.16	12.488	4.492	10.12	1.835	5.293	7.822	7.337	9.561	26.311	0	2.794312	0	80.963	3.262815	0.468503	0.468503
